"","flipper_length_mm","body_mass_g"
"1",181,3750
"2",186,3800
"3",195,3250
"4",193,3450
"5",190,3650
"6",181,3625
"7",195,4675
"8",193,3475
"9",190,4250
"10",186,3300
"11",180,3700
"12",182,3200
"13",191,3800
"14",198,4400
"15",185,3700
"16",195,3450
"17",197,4500
"18",184,3325
"19",194,4200
"20",174,3400
"21",180,3600
"22",189,3800
"23",185,3950
"24",180,3800
"25",187,3800
"26",183,3550
"27",187,3200
"28",172,3150
"29",180,3950
"30",178,3250
"31",178,3900
"32",188,3300
"33",184,3900
"34",195,3325
"35",196,4150
"36",190,3950
"37",180,3550
"38",181,3300
"39",184,4650
"40",182,3150
"41",195,3900
"42",186,3100
"43",196,4400
"44",185,3000
"45",190,4600
"46",182,3425
"47",179,2975
"48",190,3450
"49",191,4150
"50",186,3500
"51",188,4300
"52",190,3450
"53",200,4050
"54",187,2900
"55",191,3700
"56",186,3550
"57",193,3800
"58",181,2850
"59",194,3750
"60",185,3150
"61",195,4400
"62",185,3600
"63",192,4050
"64",184,2850
"65",192,3950
"66",195,3350
"67",188,4100
"68",190,3050
"69",198,4450
"70",190,3600
"71",190,3900
"72",196,3550
"73",197,4150
"74",190,3700
"75",195,4250
"76",191,3700
"77",184,3900
"78",187,3550
"79",195,4000
"80",189,3200
"81",196,4700
"82",187,3800
"83",193,4200
"84",191,3350
"85",194,3550
"86",190,3800
"87",189,3500
"88",189,3950
"89",190,3600
"90",202,3550
"91",205,4300
"92",185,3400
"93",186,4450
"94",187,3300
"95",208,4300
"96",190,3700
"97",196,4350
"98",178,2900
"99",192,4100
"100",192,3725
"101",203,4725
"102",183,3075
"103",190,4250
"104",193,2925
"105",184,3550
"106",199,3750
"107",190,3900
"108",181,3175
"109",197,4775
"110",198,3825
"111",191,4600
"112",193,3200
"113",197,4275
"114",191,3900
"115",196,4075
"116",188,2900
"117",199,3775
"118",189,3350
"119",189,3325
"120",187,3150
"121",198,3500
"122",176,3450
"123",202,3875
"124",186,3050
"125",199,4000
"126",191,3275
"127",195,4300
"128",191,3050
"129",210,4000
"130",190,3325
"131",197,3500
"132",193,3500
"133",199,4475
"134",187,3425
"135",190,3900
"136",191,3175
"137",200,3975
"138",185,3400
"139",193,4250
"140",193,3400
"141",187,3475
"142",188,3050
"143",190,3725
"144",192,3000
"145",185,3650
"146",190,4250
"147",184,3475
"148",195,3450
"149",193,3750
"150",187,3700
"151",201,4000
"152",211,4500
"153",230,5700
"154",210,4450
"155",218,5700
"156",215,5400
"157",210,4550
"158",211,4800
"159",219,5200
"160",209,4400
"161",215,5150
"162",214,4650
"163",216,5550
"164",214,4650
"165",213,5850
"166",210,4200
"167",217,5850
"168",210,4150
"169",221,6300
"170",209,4800
"171",222,5350
"172",218,5700
"173",215,5000
"174",213,4400
"175",215,5050
"176",215,5000
"177",215,5100
"178",216,4100
"179",215,5650
"180",210,4600
"181",220,5550
"182",222,5250
"183",209,4700
"184",207,5050
"185",230,6050
"186",220,5150
"187",220,5400
"188",213,4950
"189",219,5250
"190",208,4350
"191",208,5350
"192",208,3950
"193",225,5700
"194",210,4300
"195",216,4750
"196",222,5550
"197",217,4900
"198",210,4200
"199",225,5400
"200",213,5100
"201",215,5300
"202",210,4850
"203",220,5300
"204",210,4400
"205",225,5000
"206",217,4900
"207",220,5050
"208",208,4300
"209",220,5000
"210",208,4450
"211",224,5550
"212",208,4200
"213",221,5300
"214",214,4400
"215",231,5650
"216",219,4700
"217",230,5700
"218",214,4650
"219",229,5800
"220",220,4700
"221",223,5550
"222",216,4750
"223",221,5000
"224",221,5100
"225",217,5200
"226",216,4700
"227",230,5800
"228",209,4600
"229",220,6000
"230",215,4750
"231",223,5950
"232",212,4625
"233",221,5450
"234",212,4725
"235",224,5350
"236",212,4750
"237",228,5600
"238",218,4600
"239",218,5300
"240",212,4875
"241",230,5550
"242",218,4950
"243",228,5400
"244",212,4750
"245",224,5650
"246",214,4850
"247",226,5200
"248",216,4925
"249",222,4875
"250",203,4625
"251",225,5250
"252",219,4850
"253",228,5600
"254",215,4975
"255",228,5500
"256",216,4725
"257",215,5500
"258",210,4700
"259",219,5500
"260",208,4575
"261",209,5500
"262",216,5000
"263",229,5950
"264",213,4650
"265",230,5500
"266",217,4375
"267",230,5850
"268",217,4875
"269",222,6000
"270",214,4925
"271",215,4850
"272",222,5750
"273",212,5200
"274",213,5400
"275",192,3500
"276",196,3900
"277",193,3650
"278",188,3525
"279",197,3725
"280",198,3950
"281",178,3250
"282",197,3750
"283",195,4150
"284",198,3700
"285",193,3800
"286",194,3775
"287",185,3700
"288",201,4050
"289",190,3575
"290",201,4050
"291",197,3300
"292",181,3700
"293",190,3450
"294",195,4400
"295",181,3600
"296",191,3400
"297",187,2900
"298",193,3800
"299",195,3300
"300",197,4150
"301",200,3400
"302",200,3800
"303",191,3700
"304",205,4550
"305",187,3200
"306",201,4300
"307",187,3350
"308",203,4100
"309",195,3600
"310",199,3900
"311",195,3850
"312",210,4800
"313",192,2700
"314",205,4500
"315",210,3950
"316",187,3650
"317",196,3550
"318",196,3500
"319",196,3675
"320",201,4450
"321",190,3400
"322",212,4300
"323",187,3250
"324",198,3675
"325",199,3325
"326",201,3950
"327",193,3600
"328",203,4050
"329",187,3350
"330",197,3450
"331",191,3250
"332",203,4050
"333",202,3800
"334",194,3525
"335",206,3950
"336",189,3650
"337",195,3650
"338",207,4000
"339",202,3400
"340",193,3775
"341",210,4100
"342",198,3775
